,State,Abbreviation,Games Owned
5,California,CA,510204
50,Texas,TX,386390
36,New York,NY,359006
11,Florida,FL,356057
44,Pennsylvania,PA,306032
55,Washington,WA,297191
16,Illinois,IL,281926
40,Ohio,OH,262989
42,Oregon,OR,245595
26,Michigan,MI,236683
34,New Jersey,NJ,213507
3,Arizona,AZ,206075
25,Massachusetts,MA,204451
54,Virginia,VA,196855
6,Colorado,CO,192728
27,Minnesota,MN,185757
29,Missouri,MO,180669
37,North Carolina,NC,175749
49,Tennessee,TN,175714
12,Georgia,GA,164560
57,Wisconsin,WI,157608
24,Maryland,MD,153761
17,Indiana,IN,143779
51,Utah,UT,139988
32,Nevada,NV,127823
21,Louisiana,LA,126736
20,Kentucky,KY,124753
0,Alabama,AL,122028
7,Connecticut,CT,119534
47,South Carolina,SC,110434
41,Oklahoma,OK,107672
56,West Virginia,WV,105606
31,Nebraska,NE,104135
33,New Hampshire,NH,103282
4,Arkansas,AR,97735
19,Kansas,KS,94748
1,Alaska,AK,90597
14,Hawaii,HI,87367
15,Idaho,ID,86495
18,Iowa,IA,84542
22,Maine,ME,83999
8,Delaware,DE,77375
30,Montana,MT,69590
35,New Mexico,NM,67802
9,District of Columbia,DC,60493
46,Rhoide Island,RI,52530
28,Mississippi,MS,48185
48,South Dakota,SD,41566
10,Federated State of Micronesia,FM,38609
52,Vermont,VT,38571
38,North Dakota,ND,31951
58,Wyoming,WY,26509
53,US Virgin Islands,VI,16794
45,Puerto Rico,PR,6030
13,Guam,GU,3657
2,American Samoa,AS,2776
23,Marshall Islands,MH,2662
43,Palau,PW,2363
39,Northern Mariana Islands,MP,2014
