,Country,Games Owned
78,United States,1390626
12,China,927084
22,Germany,671800
62,Russia,470260
69,South Korea,456824
77,United Kingdom,362772
37,Japan,329182
57,Poland,315746
10,Canada,268720
70,Spain,194822
2,Australia,181386
8,Brazil,174668
20,France,167950
19,Finland,127642
51,Netherlands,127642
76,Ukraine,100770
3,Austria,94052
36,Italy,94052
16,Denmark,94052
15,Czech Republic,87334
29,Hungary,87334
58,Portugal,87334
73,Taiwan,80616
61,Romania,73898
71,Sweden,67180
75,Turkey,67180
52,New Zealand,60462
54,Norway,53744
23,Greece,53744
28,Hong Kong,47026
6,Belgium,47026
72,Switzerland,47026
33,Ireland,40308
35,Israel,40308
74,Thailand,40308
49,Mexico,40308
63,Serbia,33590
32,Indonesia,33590
5,Belarus,33590
65,Slovakia,33590
0,Argentina,26872
81,Vietnam,26872
11,Chile,26872
64,Singapore,20154
45,Malaysia,20154
18,Estonia,20154
9,Bulgaria,20154
40,Latvia,20154
31,India,20154
56,Philippines,20154
14,Croatia,13436
55,Peru,13436
30,Iceland,13436
59,Qatar,13436
34,Isle of Man,13436
66,Slovenia,13436
39,Kazakhstan,13436
7,Bosnia and Herzegovina,13436
80,Vatican City,13436
68,South Africa,6718
13,Colombia,6718
17,Dominican Republic,6718
4,Barbados,6718
79,Uruguay,6718
21,Gabon,6718
24,Guam,6718
42,Lithuania,6718
27,Honduras,6718
67,Somalia,6718
25,Guinea,6718
26,Guyana,6718
43,Luxembourg,6718
60,Republic of the Congo,6718
38,Jordan,6718
53,Nigeria,6718
50,Montserrat,6718
1,Aruba,6718
48,Marshall Islands,6718
47,Malta,6718
46,Maldives,6718
44,Macau,6718
41,Lebanon,6718
